"","text","author_id","possibly_sensitive","created_at"
"69","@YorkBikeBelles @YorkList @EnvAgencyYNE @theyorkmix You are welcome, be safe on your bikes <U+0001F6B2> 
Hopefully you’ll be back to planning group rides at some point in the future xx","263236440",FALSE,"2021-01-05T16:57:06.000Z"
"70","RT @ncedigital: Innovative thinking | Helping endangered fish to 'climb' past the #Severn’s weirs is at the heart of a major #engineering p…","1296475602401349634",FALSE,"2021-01-05T16:56:02.000Z"
"71","@misscharlesyork @YorkList @EnvAgencyYNE @theyorkmix Thanks for passing that on.","1855000748",FALSE,"2021-01-05T16:55:53.000Z"
"72","@YorkBikeBelles @YorkList @EnvAgencyYNE That is a lovely walk, I do believe at the moment quite slippy… I had a caller today say they were slipping and sliding. #ice #besafe @theyorkmix","263236440",FALSE,"2021-01-05T16:52:27.000Z"
"73","@YorkList @misscharlesyork The #York Millennium Bridge/Skeltergate Bridge loop taking in Terry Avenue and New Walk is a lovely, easy tree-lined route with river views. It's not usually muddy (unless the river recently flooded). But do it quick as the @EnvAgencyYNE will be closing Terry Avenue soon!","1855000748",FALSE,"2021-01-05T16:51:21.000Z"
"74","Temporary Barrier now removed from#South Hinksey by field teams today,cleaned and put away for future use.Well done to all involved.#TeamEA .@MarkHill03 @EnvAgencySE @wifo_ea @johncurtinEA","1030473696379580416",FALSE,"2021-01-05T16:45:19.000Z"
"75","@EnvAgencyAnglia Can we go fishing during this lockdown?","353075548",FALSE,"2021-01-05T16:44:26.000Z"
"76","RT @ICEYorksHumber: Find out more about the Hull River Defences and Humber Hull Frontages in this webinar coming on January 18!

@BAMNuttal…","222468030",FALSE,"2021-01-05T16:42:48.000Z"
"77","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","312590919",FALSE,"2021-01-05T16:40:45.000Z"
"78","@RomneyWeir @Longmuir19 @CanalRiverTrust @Charlie_Bil River Thames run by @MariaHerlihyEA @EnvAgencySE not @CanalRiverTrust <U+0001F44D><U+0001F3FB>","3715927457",FALSE,"2021-01-05T16:40:29.000Z"
"79","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","984004551937314816",FALSE,"2021-01-05T16:36:53.000Z"
"80","RT @EnvAgencyMids: There will be a release of water from Ladybower Reservoir #Derbyshire tomorrow morning (Wednesday) from 9am to increase…","191864968",FALSE,"2021-01-05T16:32:13.000Z"
"81","RT @oliver_hartland: Back in #Alcester today with Daz, Rich, Adam and Brooke removing a tree off of Gunnings Bridge #FloodRisk #Flood @EnvA…","459587081",FALSE,"2021-01-05T16:30:43.000Z"
"82","@EnvAgency @EmmaHowardBoyd @TonyJuniper @NaturalEngland @ForestryEngland @COP26 @DefraGovUK Dec 2020 and the global temperature dropped by 0.26C from +0.53C (supposed to be 2.0C by now) to +0.27C

Another drop puts this close to zero. Gets cooler faster than it gets warmer

Predicted to get colder 

https://t.co/Ym82249sfc","1085903347658432513",FALSE,"2021-01-05T16:28:07.000Z"
